name,date,open,high,low,close,volume
TTM,2017/1/3,34.95,35.59,34.81,35.52,1784354
TTM,2017/1/4,35.7,35.99,35.54,35.95,508618
TTM,2017/1/5,36.6,36.95,36.38,36.6,1024806
TTM,2017/1/6,36.6,36.6,36.2,36.34,696251
TTM,2017/1/9,36.39,37.41,36.35,37.26,2476762
TTM,2017/1/10,37.69,38.34,37.67,38.15,1771823
TTM,2017/1/11,37.93,38.54,37.83,38.51,1035846
TTM,2017/1/12,38.23,38.32,37.6981,37.94,674010
TTM,2017/1/13,37.73,38.08,37.62,38.04,662619
TTM,2017/1/17,38.18,38.36,38.08,38.21,808305
TTM,2017/1/18,38.34,38.4819,38.3081,38.35,1094227
TTM,2017/1/19,38.71,38.95,38.63,38.76,734526
TTM,2017/1/20,38.5,38.65,38.28,38.42,592027
TTM,2017/1/23,38.91,39.12,38.69,39.05,692196
TTM,2017/1/24,39.58,40.16,39.58,40.01,981246
TTM,2017/1/25,40.25,40.34,40,40.12,662539
TTM,2017/1/26,39.94,40.22,39.88,40.09,947648
TTM,2017/1/27,39.69,40.23,39.62,39.91,467858
TTM,2017/1/30,39.18,39.2,38.725,38.8,949749
TTM,2017/1/31,38.63,38.96,38.39,38.96,506802
TTM,2017/2/1,39.81,39.87,38.83,39.58,1262494
TTM,2017/2/2,39.53,39.53,38.84,39.19,951199
TTM,2017/2/3,39,39.48,38.6607,38.86,728046
TTM,2017/2/6,38.71,38.82,38.55,38.77,647328
TTM,2017/2/7,37.63,37.96,37.41,37.62,944608
TTM,2017/2/8,37.92,38.1918,37.5,38.13,1040761
TTM,2017/2/9,38.23,38.5,37.965,38.04,879589
TTM,2017/2/10,37.91,38.14,37.87,38.09,389972
TTM,2017/2/13,37.69,37.7899,37.38,37.42,1217345
TTM,2017/2/14,35,35.04,32.32,33.41,7962998
TTM,2017/2/15,33.41,33.69,32.32,32.39,4001260
TTM,2017/2/16,33.25,33.34,32.98,33.05,1896175
TTM,2017/2/17,33.39,33.47,32.84,33.46,1424703
TTM,2017/2/21,33.88,34.88,33.71,34.5,3029544
TTM,2017/2/22,34.45,34.8,34.37,34.53,1768465
TTM,2017/2/23,34.56,34.6999,34.145,34.39,1352320
TTM,2017/2/24,34.06,34.34,34.04,34.32,763373
TTM,2017/2/27,34.18,34.21,33.93,34,841433
TTM,2017/2/28,34.05,34.05,33.51,33.59,1583894
TTM,2017/3/1,33.98,34,33.49,33.84,974929
TTM,2017/3/2,34.26,34.78,34.22,34.64,2062166
TTM,2017/3/3,34.7,34.81,34.44,34.81,1539394
TTM,2017/3/6,35.12,35.2,34.7,34.81,1679217
TTM,2017/3/7,34.71,34.77,34.5,34.66,1231253
TTM,2017/3/8,34.7,34.75,34.42,34.59,1536662
TTM,2017/3/9,34.6,34.91,34.6,34.73,2154000
TTM,2017/3/10,34.9,35.225,34.76,35.16,2646292
TTM,2017/3/13,35.6,36.18,35.6,36.11,1289951
TTM,2017/3/14,35.9,35.92,35.42,35.88,1586015
TTM,2017/3/15,35.95,36.54,35.895,36.46,1471071
TTM,2017/3/16,36.94,36.98,36.59,36.7,1519660
